sip,dip,sport,dport,flags,time-stamp,payload
*,*,43296,80,S,58:40.9,"b'E\x00\x00<NL@\x00@\x06\x1a|\xc0\xa8$\x82|\xc8p\x01\xa9 \x00P\xa7\xd2\xc5\x17\x00\x00\x00\x00\xa0\x02r\x10\xd2""\x00\x00\x02\x04\x05\xb4\x04\x02\x08\n\x00\x1d\x8b[\x00\x00\x00\x00\x01\x03\x03\x07'"
*,*,80,43296,SA,58:40.9,"b'E\x00\x00,\x80\x9c\x00\x00\x80\x06\xe8;|\xc8p\x01\xc0\xa8$\x82\x00P\xa9 N5t&\xa7\xd2\xc5\x18`\x12\xfa\xf0\xf2y\x00\x00\x02\x04\x05\xb4\x00\x00'"
*,*,43296,80,A,58:40.9,"b""E\x00\x00(NM@\x00@\x06\x1a\x8f\xc0\xa8$\x82|\xc8p\x01\xa9 \x00P\xa7\xd2\xc5\x18N5t'P\x10r\x10\xd2\x0e\x00\x00"""
*,*,43296,80,PA,58:40.9,"b""E\x00\x03\xe8NN@\x00@\x06\x16\xce\xc0\xa8$\x82|\xc8p\x01\xa9 \x00P\xa7\xd2\xc5\x18N5t'P\x18r\x10\xd5\xce\x00\x00GET /js/common.js HTTP/1.1\r\nAccept: */*\r\nAccept-Language: zh-cn\r\nAccept-Encoding: gzip, deflate\r\nUser-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET4.0C; .NET4.0E; InfoPath.2)\r\nHost: www.jd.com\r\nConnection: Keep-Alive\r\n\ntiankongtiankong777ziLovey777777ytiankongzyiLove777777zyiLoveyzyziLoveiLoveyiLove777iLoveytiankong777iLoveyiLoveyziLove777ztiankongtiankongiLovetiankongiLovetiankongz777iLoveyy777y777iLove777yyiLoveiLovezytiankong777777777777ziLoveiLovetiankongyzziLove777777y777tiankongytiankongtiankongzz777ytiankong777777iLoveytiankongzytiankongyyiLoveziLoveyzytiankongiLovetiankongziLoveziLovetiankongiLoveyiLovey777tiankongy777z777y777yyz777y777z777yiLovetiankongtiankongzyiLovetiankongztiankong777iLoveziLove777yy777iLove777777iLoveiLovetiankongtiankongtiankongtiankongiLovetiankongiLovezyziLoveiLovez777yiLoveztiankongiLove777iLovezztiankong777zz777iLove777\x00\x00\x00\x00\x00\x00\x00\x00"""
*,*,80,43296,A,58:40.9,"b""E\x00\x00(\x80\x9e\x00\x00\x80\x06\xe8=|\xc8p\x01\xc0\xa8$\x82\x00P\xa9 N5t'\xa7\xd2\xc8\xd8P\x10\xfa\xf0\x06w\x00\x00\x00\x00\x00\x00\x00\x00"""
*,*,43296,80,FA,58:40.9,"b""E\x00\x00(NO@\x00@\x06\x1a\x8d\xc0\xa8$\x82|\xc8p\x01\xa9 \x00P\xa7\xd2\xc8\xd8N5t'P\x11r\x10\xd2\x0e\x00\x00"""
*,*,80,43296,A,58:40.9,"b""E\x00\x00(\x80\x9f\x00\x00\x80\x06\xe8<|\xc8p\x01\xc0\xa8$\x82\x00P\xa9 N5t'\xa7\xd2\xc8\xd9P\x10\xfa\xef\x06w\x00\x00\x00\x00\x00\x00\x00\x00"""
*,*,80,43296,FPA,58:40.9,"b""E\x00\x00(\x80\xa2\x00\x00\x80\x06\xe89|\xc8p\x01\xc0\xa8$\x82\x00P\xa9 N5t'\xa7\xd2\xc8\xd9P\x19\xfa\xef\x06n\x00\x00\x00\x00\x00\x00\x00\x00"""
*,*,43296,80,A,58:40.9,b'E\x00\x00(\x7f\x81@\x00@\x06\xe9Z\xc0\xa8$\x82|\xc8p\x01\xa9 \x00P\xa7\xd2\xc8\xd9N5t(P\x10r\x10\x8fU\x00\x00'
*,*,80,43296,SA,58:40.9,"b'E\x00\x00,\x80\x9c\x00\x00\x80\x06\xe8;|\xc8p\x01\xc0\xa8$\x82\x00P\xa9 N5t&\xa7\xd2\xc5\x18`\x12\xfa\xf0\xf2y\x00\x00\x02\x04\x05\xb4\x00\x00'"
*,*,80,43296,A,58:40.9,"b""E\x00\x00(\x80\x9e\x00\x00\x80\x06\xe8=|\xc8p\x01\xc0\xa8$\x82\x00P\xa9 N5t'\xa7\xd2\xc8\xd8P\x10\xfa\xf0\x06w\x00\x00\x00\x00\x00\x00\x00\x00"""
*,*,80,43296,A,58:40.9,"b""E\x00\x00(\x80\x9f\x00\x00\x80\x06\xe8<|\xc8p\x01\xc0\xa8$\x82\x00P\xa9 N5t'\xa7\xd2\xc8\xd9P\x10\xfa\xef\x06w\x00\x00\x00\x00\x00\x00\x00\x00"""
*,*,80,43296,FPA,58:40.9,"b""E\x00\x00(\x80\xa2\x00\x00\x80\x06\xe89|\xc8p\x01\xc0\xa8$\x82\x00P\xa9 N5t'\xa7\xd2\xc8\xd9P\x19\xfa\xef\x06n\x00\x00\x00\x00\x00\x00\x00\x00"""
